Symptom(s),Possible Disease,Precautions,Treatment
"Runny Nose, Cold Hands",Flu,Use mosquito repellent,"Blood Thinners, Antihistamines, Pacemaker Implantation"
"Sore Throat, Nosebleeds, Sensitivity to Light, Shortness of Breath",Multiple Sclerosis,"Regular health checkups, Avoid stress",Surgery
"Heart Palpitations, Dry Skin, Difficulty Swallowing, High Blood Pressure",Thyroid Disease,Drink herbal tea,"Hormonal Therapy, Steroids"
"Heart Palpitations, Runny Nose",Lung Infection,Use sunscreen,"Emergency Medical Help, Dietary Supplements, Skin Creams"
"Sneezing, Numbness, Back Pain, Shortness of Breath",Arthritis,Stay hydrated,Anti-inflammatory Drugs
"Swelling in Legs, Weight Loss",Liver Disease,"Reduce sugar intake, Avoid crowded places","IV Fluids, Blood Thinners, Antihistamines"
"Shortness of Breath, Fatigue",Multiple Sclerosis,"Reduce salt intake, Avoid bright lights","Insulin, Hormonal Therapy"
"Sneezing, Abdominal Pain",Anemia,"Avoid bright lights, Wash hands frequently",Hormonal Therapy
"Sneezing, Diarrhea, Loss of Appetite",Malaria,Maintain hygiene,"Antifungal Medication, Emergency Medical Help"
"Excessive Thirst, Back Pain, Nausea, Sweating",Epilepsy,Eat healthy,Eye Drops
"Runny Nose, Tingling Sensation",Arrhythmia,"Take vaccines, Sleep properly, Exercise regularly",Paracetamol
"Tingling Sensation, Itchy Eyes, Nosebleeds, Back Pain",Thyroid Disease,"Sleep properly, Drink herbal tea","Physiotherapy, Antibiotics, IV Fluids"
"Frequent Urination, Fever, Joint Pain",Lupus,"Sleep properly, Use sunscreen","Antibiotics, Paracetamol"
"Joint Pain, Cold Hands",Liver Disease,"Use sunscreen, Reduce sugar intake, Avoid stress",Antiviral Drugs
"Fever, Sensitivity to Light",Liver Disease,Stay hydrated,Eye Drops
"Frequent Urination, High Blood Pressure",Common Cold,"Regular health checkups, Monitor blood pressure, Meditate daily",Chemotherapy
"Cough, Difficulty Swallowing, Headache, Nausea",Diabetes,"Sleep properly, Avoid allergens, Meditate daily",Steroids
"Runny Nose, Heart Palpitations, Numbness",Malaria,Reduce salt intake,"Emergency Medical Help, Antihistamines"
"Cough, Sneezing",Dengue,"Rest, Wear a mask, Exercise regularly","Dietary Supplements, Radiation Therapy"
"Fever, Headache, Sore Throat, Cold Hands",Hepatitis,Maintain hygiene,Chemotherapy
"Difficulty Swallowing, Abdominal Pain",Malaria,"Reduce sugar intake, Take vaccines","Vitamin Supplements, Inhalers, Emergency Medical Help"
"Dry Skin, Joint Pain, Tremors",Diabetes,"Regular health checkups, Get proper nutrition","Oxygen Therapy, Steroids, Pacemaker Implantation"
"Sweating, Shortness of Breath, Cold Hands",Lupus,"Eat healthy, Reduce caffeine intake","Shockwave Therapy, Steroids"
"Blurred Vision, Frequent Urination, Difficulty Swallowing, Shortness of Breath",Typhoid,"Maintain hygiene, Rest, Reduce salt intake","Insulin, Psychotherapy"
"Shortness of Breath, Muscle Weakness",Flu,"Reduce salt intake, Use mosquito repellent","Emergency Medical Help, Surgery"
"Sweating, Runny Nose, Diarrhea",Pancreatitis,Avoid stress,"Vaccination, Insulin"
"Muscle Weakness, Fever, Low Blood Pressure",Arrhythmia,"Eat healthy, Reduce sugar intake","Surgery, Dietary Supplements"
"Sneezing, Weight Loss",Hepatitis,"Avoid allergens, Sleep properly, Use mosquito repellent","Vitamin Supplements, Radiation Therapy"
"Mood Swings, Swollen Glands",Asthma,"Regular health checkups, Wash hands frequently","Oxygen Therapy, Physiotherapy"
"Tremors, High Blood Pressure, Mood Swings",Colon Cancer,Stay hydrated,"Paracetamol, Hormonal Therapy, Antihistamines"
"Dry Skin, Itchy Eyes, Headache, Frequent Urination",Typhoid,"Rest, Sleep properly","Chemotherapy, Blood Thinners, Steroids"
"Tremors, Low Blood Pressure, Blurred Vision",PCOS,"Eat healthy, Monitor blood pressure, Avoid alcohol",Bone Marrow Transplant
"Difficulty Swallowing, Blurred Vision, Nosebleeds",Malaria,Exercise regularly,"Cough Syrup, Steroids"
"Ear Pain, Nausea",Mental Stress,Avoid allergens,"Hormonal Therapy, Dietary Supplements"
